No,Kode Efek,Nama Emiten,Nama Pemegang Rekening Efek,Nama Pemegang Saham,Nama Rekening Efek,Alamat,Alamat (Lanjutan),Kebangsaan,Domisili,Status (Lokal/Asing),Kepemilikan Per 19-MAY-2026,Col12,Col13,Kepemilikan Per 20-MAY-2026,Col15,Col16,Perubahan
312,BSBK,"WULANDARI BANGUN LAKSANA Tbk, PT",PT PANCA GLOBAL SEKURITAS,GLORY VENTURE CAPITAL LTD,GLORY VENTURE CAPITAL LTD,GEDUNG PACIFIC PLACE LT 15,JL JENDERAL SUDIRMAN KAV 52-53,,MALAYSIA,L,"1,312,116,139","1,312,116,139",5.23,"1,312,116,139","1,312,116,139",5.23,0
313,BSDE,"BUMI SERPONG DAMAI, PT",PT AMANTARA SEKURITAS INDONESIA,PT PARAGA ARTAMIDA,PARAGA ARTAMIDA PT,JL. KALI BESAR BARAT NO. 8,RT 007 RW 003,,INDONESIA,L,"1,501,864,100","3,833,273,200",18.11,"1,501,864,100","3,833,273,200",18.11,0
,BSDE,,"SINARMAS SEKURITAS, PT",,PT PARAGA ARTAMIDA,"GEDUNG SINARMAS LAND PLAZA, GRAND BOULEVARD BSD","GREEN OFFICE PARK, BSD CITY",,INDONESIA,L,"2,331,409,100",,,"2,331,409,100",,,0
314,BSIM,BANK SINARMAS Tbk. PT,BUT DEUTSCHE BANK AG,PT SINAR MAS MULTIARTHA Tbk,U20B9S1 A14G5 S1I1N9GAPORE S/A PT. SINAR MAS MULTIARTHA TBK.-,"MKEELN.KARAMA PTUENKNGO B A7TLIH, FLOOR,JL K.H. FACHRUDIN NUMBER 19","KJAEKCA.TRATNAA,JHAK AABRATNAG 1 K0O25T0A ADM.JKT PUSAT,PROVINCE DKI",,INDONESIA,L,"5,913,426,800","11,826,853,600",59.99,"5,913,426,800","11,826,853,600",59.99,0
,BSIM,,"SINARMAS SEKURITAS, PT",,PT SINAR MAS MULTIARTHA Tbk,MENARA TEKNO LT. 7 JL. FACHRUDIN NO. 19,"KAMPUNG BALI, TANAH ABANG",,INDONESIA,L,"5,913,426,800",,,"5,913,426,800",,,0
315,BSML,"BINTANG SAMUDERA MANDIRI LINES Tbk, PT",PT KB VALBURY SEKURITAS,PT GOLDFIVE INVESTMENT CAPITAL,"GOLDFIVE INVESTMENT CAPITAL, PT",THE MANHATTAN SQUARE MID TOWER LT.18 UNIT C,JL. TB. SIMATUPANG KAV.1S,,INDONESIA,L,"16,547,600","681,055,165",36.81,"16,547,600","680,955,165",36.80,0
,BSML,,PT YUANTA SEKURITAS INDONESIA,,"GOLDFIVE INVESTMENT CAPITAL, PT",THE MANHATTAN SQUARE MID TOWER LT 18 UNIT C,JL TB SIMATUPANG KAV 1S,,INDONESIA,L,"46,451,065",,,"46,451,065",,,0
,BSML,,PT MAYBANK SEKURITAS INDONESIA,,PT GOLDFIVE INVESTMENT CAPITAL,THE MANHATTAN SQUARE MID TOWER LT 18 UNIT C,JL. TB. SIMATUPANG KAV 1S,,INDONESIA,L,"1,820,400",,,"1,820,400",,,0
,BSML,,PT MAYBANK SEKURITAS INDONESIA,,PT GOLDFIVE INVESTMENT CAPITAL,THE MANHATTAN SQUARE MID TOWER LT 18 UNIT C,JL. TB. SIMATUPANG KAV 1S,,INDONESIA,L,"616,236,100",,,"616,136,100",,,-100
316,BSML,"BINTANG SAMUDERA MANDIRI LINES Tbk, PT","BRI DANAREKSA SEKURITAS, PT",ANDRIANSYAH PRAYITNO,ANDRIANSYAH PRAYITNO,JL. MANDAR I NO. 14F,,INDONESIAN,INDONESIA,L,-,"238,649,700",12.90,"1,000,000","237,649,700",12.84,-
,BSML,,PT NH KORINDO SEKURITAS INDONESIA,,ANDRIANSYAH PRAYITNO,CLOWNFISH RESIDENCE GG SURO NO 2A RT 007 RW 003,"CIPEDAK, JAGAKARSA",INDONESIAN,INDONESIA,L,"236,649,700",,,"236,649,700",,,0
,BSML,,"BRI DANAREKSA SEKURITAS, PT",,ANDRIANSYAH PRAYITNO,JL. MANDAR I NO. 14F,,INDONESIAN,INDONESIA,L,"2,000,000",,,-,,,-
317,BSML,"BINTANG SAMUDERA MANDIRI LINES Tbk, PT",PT NH KORINDO SEKURITAS INDONESIA,NENGAH RAMA GAUTAMA,NENGAH RAMA GAUTAMA,"Jl.Tanjung Duren Timur No.4 Rt.002/Rw.006, Tanjung Duren Selatan",,INDONESIAN,,L,"159,000,000","259,000,000",14.00,"159,000,000","259,000,000",14.00,0
,BSML,,PT NH KORINDO SEKURITAS INDONESIA,,NENGAH RAMA GAUTAMA,"Jl.Tanjung Duren Timur No.4 Rt.002/Rw.006, Tanjung Duren Selatan",,INDONESIAN,,L,"100,000,000",,,"100,000,000",,,0
318,BSSR,PT. BARAMULTI SUKSESSARANA Tbk,PT CGS International Sekuritas Indonesia,PT GS GLOBAL RESOURCES,"GS GLOBAL RESOURCES, PT",TREASURY TOWER LANTAI 3M DISTRICT 8 SCBD LOT 11A,JL JEND SUDIRMAN KAV 52-53,,INDONESIA,L,"130,825,000","130,825,000",5.00,"130,825,000","130,825,000",5.00,0
319,BSSR,PT. BARAMULTI SUKSESSARANA Tbk,PT CGS International Sekuritas Indonesia,GS ENERGY CORPORATION,GS ENERGY CORPORATION,GS TOWER 508,NONHYEON-RO GANGNAM-GU,,"KOREA, REPUBLIC OF",A,"254,847,100","254,847,100",9.74,"254,847,100","254,847,100",9.74,0
320,BTEK,"BUMI TEKNOKULTURA UNGGUL TBK, PT",PT BNC SEKURITAS INDONESIA,GOLDEN HARVEST COCOA LTD,PT Golden Harvest Cocoa Ltd,VISTRA CORPORATE SERVICE CENTRE,,,"VIRGIN ISLANDS, BRITISH",A,"1,156,262,169","19,247,528,400",41.59,"1,156,262,169","19,247,528,400",41.59,0
,BTEK,,BUT DEUTSCHE BANK AG,,U20B9S1 A14G4 S9I0N6GAPORE S/A GOLDEN HARVEST COCOA LTD-,"VTIOSWTRNA CORPORATE SERVICES CENTRE WICKHAMS CAY II, ROAD","TORTOLA VG1110, BRITISH VIRGIN ISLANDS",,"VIRGIN ISLANDS, BRITISH",A,"18,091,266,231",,,"18,091,266,231",,,0
321,BTEK,"BUMI TEKNOKULTURA UNGGUL TBK, PT","BANK MANDIRI, PT - CUSTODY",PERUSAHAAN PERSEROAN (PERSERO) PT ASABRI,PT ASABRI (PERSERO) - DAPEN TNI,Jalan Mayjend Sutoyo No 11 Cawang,Kramat Jati Jakarta Timur DKI Jakarta,,INDONESIA,L,"1,188,666,689","4,557,527,258",9.85,"1,188,666,689","4,557,527,258",9.85,0
,BTEK,,"BANK MANDIRI, PT - CUSTODY",,PT.ASABRI ( Persero ),Jalan Mayjend Sutoyo No 11 Cawang,Kramat Jati Jakarta Timur DKI Jakarta,,INDONESIA,L,"1,634,933,086",,,"1,634,933,086",,,0
,BTEK,,"BANK MANDIRI, PT - CUSTODY",,PT ASABRI (PERSERO) - DAPEN,Jalan Mayjend Sutoyo No 11 Cawang,Kramat Jati Jakarta Timur DKI Jakarta,,INDONESIA,L,"980,907,244",,,"980,907,244",,,0
,BTEK,,"BANK MANDIRI, PT - CUSTODY",,PT ASABRI (PERSERO) - DAPEN POLRI,Jalan Mayjend Sutoyo No 11 Cawang,Kramat Jati Jakarta Timur DKI Jakarta,,INDONESIA,L,"753,020,239",,,"753,020,239",,,0
322,BTEK,"BUMI TEKNOKULTURA UNGGUL TBK, PT","BANK MANDIRI, PT - CUSTODY",PERUSAHAAN PERSEROAN (PERSERO) PT. ASABRI,PT ASABRI (PERSERO) - DAPEN TNI,Jalan Mayjend Sutoyo No 11 Cawang,Kramat Jati Jakarta Timur DKI Jakarta,,INDONESIA,L,"1,188,666,689","4,557,527,258",9.85,"1,188,666,689","4,557,527,258",9.85,0
,BTEK,,"BANK MANDIRI, PT - CUSTODY",,PT.ASABRI ( Persero ),Jalan Mayjend Sutoyo No 11 Cawang,Kramat Jati Jakarta Timur DKI Jakarta,,INDONESIA,L,"1,634,933,086",,,"1,634,933,086",,,0
,BTEK,,"BANK MANDIRI, PT - CUSTODY",,PT ASABRI (PERSERO) - DAPEN,Jalan Mayjend Sutoyo No 11 Cawang,Kramat Jati Jakarta Timur DKI Jakarta,,INDONESIA,L,"980,907,244",,,"980,907,244",,,0
,BTEK,,"BANK MANDIRI, PT - CUSTODY",,PT ASABRI (PERSERO) - DAPEN POLRI,Jalan Mayjend Sutoyo No 11 Cawang,Kramat Jati Jakarta Timur DKI Jakarta,,INDONESIA,L,"753,020,239",,,"753,020,239",,,0
323,BTEL,"BAKRIE TELECOM Tbk, PT","BRI DANAREKSA SEKURITAS, PT",PT. Bakrie Global Ventura,PT BAKRIE GLOBAL VENTURA,"BKAUKNRINIEG TAONW,ER LT.39, RASUNA EPICENTRUM, JL HR RASUNA SAID","KEL. KARET KUNINGAN, KEC. SETIABUDI",,INDONESIA,L,"1,876,942,095","2,639,582,576",7.17,"1,876,942,095","2,639,582,576",7.17,0
,BTEL,,"PT RELIANCE SEKURITAS INDONESIA, TBK",,"BAKRIE GLOBAL VENTURA, PT","GSADID. BAKRIE TOWER LT. 39, RASUNA EPICENTRUM JL. H.R. RASUNA","KUNINGAN KEL. KARET KUNINGAN, KEC. SETIABUDI",,INDONESIA,L,"7,863",,,"7,863",,,0
,BTEL,,PT CIPTADANA SEKURITAS ASIA,,"BAKRIE GLOBAL VENTURA, PT","BAKRIE TOWER LT.39, RASUNA EPICENTRUM JL.H.R.RASUNA SAID",JL.H.R.RASUNA SAID,,INDONESIA,L,"754,716,981",,,"754,716,981",,,0
,BTEL,,PT KRESNA SEKURITAS,,PT.BAKRIE GLOBAL VENTURA,"BAKRIE TOWER LANTAI 39 ,KOMPLEK RASUNA EPICENTRUM ,",JL.HR.RASUNA SAID KARET SETIABUDI,,INDONESIA,L,"3,677,022",,,"3,677,022",,,0
,BTEL,,PT CGS International Sekuritas Indonesia,,PT. BAKRIE GLOBAL VENTURA,BAKRIE TOWER LT 39 RASUNA EPICENTRUM,JL HR RASUNA SAID,,INDONESIA,L,"4,238,615",,,"4,238,615",,,0
324,BTEL,"BAKRIE TELECOM Tbk, PT","SINARMAS SEKURITAS, PT",PT MAHINDO AGUNG SENTOSA,PT MAHINDO AGUNG SENTOSA,"GEDUNG GRAHA KAPITAL LT. 2, JL. KEMANG RAYA NO. 4 BANGKA",MAMPANG PRAPATAN,,INDONESIA,L,"5,000,439,000","5,000,439,000",13.58,"5,000,439,000","5,000,439,000",13.58,0
325,BTEL,"BAKRIE TELECOM Tbk, PT","MANDIRI SEKURITAS, PT",PT. HUAWEI TECH INVESTMENT,PT. HUAWEI TECH INVESTMENT,GD BRI II LANTAI 20 SUITE 2005 JL JEND SUDIRMAN KAV. 44-46,KEL BENDUNGAN HILIR KEC. TANAH ABANG,,INDONESIA,L,"6,189,313,980","6,189,313,980",16.81,"6,189,313,980","6,189,313,980",16.81,0
326,BTEL,"BAKRIE TELECOM Tbk, PT",PT KB VALBURY SEKURITAS,PT BIOFUEL INDO SUMATRA,"BIOFUEL INDO SUMATRA, PT",GSADID.BAKRIE TOWER LT.6 RASUNA EPICENTRUM JL.HR.RASUNA,KEL.KARET KUNINGAN KEC.SETIABUDI,,INDONESIA,L,"3,145,050,000","3,145,050,000",8.54,"3,145,050,000","3,145,050,000",8.54,0
327,BTEL,"BAKRIE TELECOM Tbk, PT",BUT. STANDARD CHARTERED BANK,"RBEASIFTF EQIUSEALNI TBYA GNLKO INBATLE RLNIMAITTEIODNAL AG, SINGAPORE BRANCH S/A",RBEASIFTF EQIUSEALNI TBYA GNLKO INBTAEL RLNIMAITTEIODNAL AG SINGAPORE BRANCH S/A,"OBRMICT ICSHH AVMIRBGEIRNS, WICKHAMS CAY, 1 ROAD TOWN, TORTOLA,",ISLANDS,,BRITISH INDIAN OCEAN TERRITORY,A,"2,213,279,000","2,213,279,000",6.01,"2,213,279,000","2,213,279,000",6.01,0
328,BTON,"BETONJAYA MANUNGGAL Tbk, PT",PT PHILLIP SEKURITAS INDONESIA,EDDO CHANDRA,EDDO CHANDRA,KENDALI SODO NO. 3 RT/RW : 001/001,"KEL : WONOTINGAL, KEC : CANDISARI",INDONESIAN,INDONESIA,L,"37,100,000","37,100,000",5.15,"37,100,000","37,100,000",5.15,0
329,BTPN,"BANK SMBC INDONESIA Tbk, PT",PT Bank SMBC Indonesia Tbk,SUMITOMO MITSUI BANKING CORPORATION,SUMITOMO MITSUI BANKING CORPORATION - EQUITY,"1-1-2, MARUNOUCHI, CHIYODA-KU",,,JAPAN,A,"9,692,826,975","9,692,826,975",91.05,"9,692,826,975","9,692,826,975",91.05,0
330,BTPS,"BANK BTPN SYARIAH Tbk, PT",PT Bank SMBC Indonesia Tbk,PT Bank SMBC Indonesia Tbk,PT BANK SMBC INDONESIA TBK - SHARESHOLDERS BTPS,"Menara BTPN lantai 11,18,19,20,21,22,23,24,25,26,27,28,29,30",Jalan Dr Ide Anak Agung Gde Agung Kav. 5.5 - 5.6,,INDONESIA,L,"5,315,553,000","5,315,553,000",69.00,"5,315,553,000","5,315,553,000",69.00,0
331,BUAH,"SEGAR KUMALA INDONESIA Tbk, PT",PT MIRAE ASSET SEKURITAS INDONESIA,PT TEBAR JALA KORPORA,PT TEBAR JALA KORPORA,Jl Danau Sunter Utara Blok M No 24,,,INDONESIA,L,"47,340,800","111,753,000",5.59,"47,340,800","111,753,000",5.59,0
,BUAH,,"PT RELIANCE SEKURITAS INDONESIA, TBK",,TEBAR JALA KORPORA PT,JALAN DANAU SUNTER UTARA BLOK M NO 24,"DESA SUNTER AGUNG, KEC. TANJUNG PRIOK",,INDONESIA,L,"26,703,000",,,"26,703,000",,,0
,BUAH,,PT Yakin Bertumbuh Sekuritas,,PT. Tebar Jala Korpora,Jl. Danau Sunter Utara Blok.M No.24,,,INDONESIA,L,"37,709,200",,,"37,709,200",,,0
332,BUAH,"SEGAR KUMALA INDONESIA Tbk, PT",PT MIRAE ASSET SEKURITAS INDONESIA,PT. Tebar Jala Korpora,PT TEBAR JALA KORPORA,Jl Danau Sunter Utara Blok M No 24,,,INDONESIA,L,"47,340,800","111,753,000",5.59,"47,340,800","111,753,000",5.59,0
,BUAH,,"PT RELIANCE SEKURITAS INDONESIA, TBK",,TEBAR JALA KORPORA PT,JALAN DANAU SUNTER UTARA BLOK M NO 24,"DESA SUNTER AGUNG, KEC. TANJUNG PRIOK",,INDONESIA,L,"26,703,000",,,"26,703,000",,,0
,BUAH,,PT Yakin Bertumbuh Sekuritas,,PT. Tebar Jala Korpora,Jl. Danau Sunter Utara Blok.M No.24,,,INDONESIA,L,"37,709,200",,,"37,709,200",,,0
333,BUAH,"SEGAR KUMALA INDONESIA Tbk, PT",PT MIRAE ASSET SEKURITAS INDONESIA,TEBAR JALA KORPORA PT,PT TEBAR JALA KORPORA,Jl Danau Sunter Utara Blok M No 24,,,INDONESIA,L,"47,340,800","111,753,000",5.59,"47,340,800","111,753,000",5.59,0
,BUAH,,"PT RELIANCE SEKURITAS INDONESIA, TBK",,TEBAR JALA KORPORA PT,JALAN DANAU SUNTER UTARA BLOK M NO 24,"DESA SUNTER AGUNG, KEC. TANJUNG PRIOK",,INDONESIA,L,"26,703,000",,,"26,703,000",,,0
,BUAH,,PT Yakin Bertumbuh Sekuritas,,PT. Tebar Jala Korpora,Jl. Danau Sunter Utara Blok.M No.24,,,INDONESIA,L,"37,709,200",,,"37,709,200",,,0
334,BUDI,BUDI STARCH & SWEETENER Tbk,PT KAY HIAN SEKURITAS,PT SUNGAI BUDI,PT SUNGAI BUDI,JL IKAN BAWAL NO.1A,KANGKUNG,,INDONESIA,L,"1,201,296,998","1,201,296,998",26.70,"1,201,296,998","1,201,296,998",26.70,0
335,BUDI,BUDI STARCH & SWEETENER Tbk,"BNI SEKURITAS, PT",PT BUDI DELTA SWAKARYA,PT BUDI DELTA SWAKARYA,JL HR RASUNA SAID KAV C NOMOR 6,WISMA BUDI LANTAI 07,,INDONESIA,L,"1,487,271,833","1,487,271,833",33.06,"1,487,271,833","1,487,271,833",33.06,0
336,BUDI,BUDI STARCH & SWEETENER Tbk,PT KAY HIAN SEKURITAS,UOB KAY HIAN PTE LTD,UOB Kay Hian Pte Ltd,"83 CLEMENCEAU AVENUE, #10-01","UE SQUARE, SINGAPORE",,SINGAPORE,A,"167,762,698","347,762,698",7.73,"167,762,698","347,762,698",7.73,0
,BUDI,,PT KAY HIAN SEKURITAS,,UOB KAY HIAN PTE LTD A/C TROPICAL TREEDOM VENTURE,"83 CLEMENCEAU AVENUE, #10-01","UE SQUARE, SINGAPORE",,SINGAPORE,A,"180,000,000",,,"180,000,000",,,0
337,BUKA,"BUKALAPAK.COM Tbk, PT",PT. TRIMEGAH SEKURITAS INDONESIA TBK,BUKALAPAK.COM TBK PT,BUKALAPAK.COM TBK PT,METROPOLITAN TOWER LT. 22,JL. RADEN ADJENG KARTINI KAV 14,,INDONESIA,L,"11,333,437,507","11,333,488,507",10.99,"11,333,437,507","11,333,488,507",10.99,0
,BUKA,,"MANDIRI SEKURITAS, PT",,PT BUKALAPAK.COM TBK - PROGRAM ESA,"MKEETROPOLITAN TOWER LT.22, JL. RADEN ADJENG KARTINI KAV.14","L. CILANDAK BARAT, KEC. CILANDAK",,INDONESIA,L,51,,,51,,,0
338,BUKA,"BUKALAPAK.COM Tbk, PT",PT CLSA Sekuritas Indonesia,"ELANG MAHKOTA TEKNOLOGI TBK, PT",PT ELANG MAHKOTA TEKNOLOGI,"SCTV TOWER, SENAYAN CITY","JL. ASIA AFRIKA LOT 19, GELORA, TANAH ABANG",,INDONESIA,L,"10,821,706,040","10,821,706,040",10.49,"10,821,706,040","10,821,706,040",10.49,0
339,BUKA,"BUKALAPAK.COM Tbk, PT",PT CLSA Sekuritas Indonesia,KREATIF MEDIA KARYA PT,PT KREATIF MEDIA KARYA,"SCTV TOWER, SENAYAN CITY LT 14","JL. ASIA AFRIKA LOT 19, GELORA, TANAH ABANG",,INDONESIA,L,"46,321,746,385","46,321,746,385",44.90,"46,321,746,385","46,321,746,385",44.90,0
340,BUKK,"BUKAKA TEKNIK UTAMA Tbk, PT","MANDIRI SEKURITAS, PT",IR ACHMAD KALLA,IR ACHMAD KALLA,"JL PURI MUTIARA 11 NO 21 RT 008 RW 011, CILANDAK, JAKARTA",,INDONESIAN,INDONESIA,L,"269,229,402","674,951,762",25.56,"269,229,402","674,951,762",25.56,0
,BUKK,,PT ELIT SUKSES SEKURITAS,,ACHMAD KALLA IR,JL PURI MUTIARA II NO.21,RT 08/011 Kel. CILANDAK BARAT Kec. CILANDAK,INDONESIAN,,L,"405,722,360",,,"405,722,360",,,0
341,BUKK,"BUKAKA TEKNIK UTAMA Tbk, PT","MANDIRI SEKURITAS, PT",SOLIHIN JUSUF KALLA,SOLIHIN JUSUF KALLA,"JL BRAWIJAYA RAYA NO 6 RT 002 RW 002 PULO, KEBAYORAN BARU",,INDONESIAN,INDONESIA,L,"371,227,644","789,812,604",29.91,"371,227,644","789,812,604",29.91,0
,BUKK,,PT BCA SEKURITAS,,SOLIHIN JUSUF KALLA,Jl. Brawijaya Raya No. 6 RT 02 RW 02,Kel. Pulo Kec. Kebayoran Baru,INDONESIAN,,L,"418,584,960",,,"418,584,960",,,0
342,BUKK,"BUKAKA TEKNIK UTAMA Tbk, PT","MANDIRI SEKURITAS, PT",DRS. SUHAELI KALLA,DRS SUHAELI KALLA,"JL H MUHYIN NO 1 RT 006 RW 006 JATICEMPAKA, PONDOK GEDE",,INDONESIAN,INDONESIA,L,"382,472,710","800,489,790",30.32,"382,472,710","800,489,790",30.32,0
,BUKK,,PT BCA SEKURITAS,,DRS. SUHAELI KALLA,Jl. H. Muhyin No. 1,RT 006 RW 006,INDONESIAN,INDONESIA,L,"418,017,080",,,"418,017,080",,,0
343,BULL,"BUANA LINTAS LAUTAN Tbk, PT",PT KAY HIAN SEKURITAS,PT DELTA ROYAL SEJAHTERA,UTROUBS KTA LYT HDIA ONB (OH OPTN GDE KLOTNA GR)O LYTADL ( SPELEJADHGTEE)R - AMADISON PACIFIC,Gedung Cyber 2 Tower Lt.17 Jl.HR.Rasuna,"Said Blok X-5 Kav.13, Kuningan Timur",,INDONESIA,L,"1,695,360,887","2,251,898,042",14.53,"1,695,360,887","2,251,898,042",14.53,0
,BULL,,PT NH KORINDO SEKURITAS INDONESIA,,PT. DELTA ROYAL SEJAHTERA,GD. CYBER TOWER LT.17 JL. HR.RASUNA SAID BLOK X-5 KAV.13,KEL. KUNINGAN TIMUR - KEC. SETIABUDI,,INDONESIA,L,"450,6",,,"450,6",,,0
,BULL,,PT KIWOOM SEKURITAS INDONESIA,,PT DELTA ROYAL SEJAHTERA,"GD.CYBER 2 TOWER LT.17, JL.HR RASUNA SAID",,,INDONESIA,L,500,,,500,,,0
,BULL,,"SINARMAS SEKURITAS, PT",,PT DELTA ROYAL SEJAHTERA,GD. CYBER 2 TOWER LT. 17 JL. HR. RASUNA SAID BLOK X-5 KAV 13,KEL. KUNINGAN TIMUR KEC. SETIABUDI,,INDONESIA,L,"533,177,194",,,"533,177,194",,,0
,BULL,,PT YUANTA SEKURITAS INDONESIA,,"DELTA ROYAL SEJAHTERA, PT",GED CYBER 2 TOWER 18 JL HR RASUNA SAID BLOK X5 KAV 13,"KUNINGAN TIMUR, SETIABUDI",,INDONESIA,L,"22,774,600",,,"22,774,600",,,0
,BULL,,PT DANATAMA MAKMUR SEKURITAS,,"Delta Royal Sejahtera, PT","Gd. Cyber 2 Tower Lt. 17, JL. HR Rasuna Said Blok X-5 Kav. 13",,,INDONESIA,L,"134,261",,,"134,261",,,0
344,BULL,"BUANA LINTAS LAUTAN Tbk, PT",PT AMANTARA SEKURITAS INDONESIA,FORTUNE STREET LIMITED,FORTUNE STREET LIMITED,ROOM 2101 HONG KONG TRADE CENTRE,161-7 DES VOEUX ROAD CENTRAL,,HONG KONG,A,"1,408,585,144","1,408,585,144",9.09,"1,408,585,144","1,408,585,144",9.09,0
345,BUMI,"BUMI RESOURCES Tbk, PT",PT INA SEKURITAS INDONESIA,Mach Energy (Hongkong) Limited,Mach Energy (Hongkong) Limited,"Unit 1, 7/F, Tower 1","Enterprise Square, 9 Sheung Yuet Road, Kowloon Bay",,HONG KONG,A,"170,000,000,000","170,000,000,000",45.78,"170,000,000,000","170,000,000,000",45.78,0
346,BUVA,"BUKIT ULUWATU VILLA Tbk, PT",PT CGS International Sekuritas Indonesia,NUSANTARA UTAMA INVESTAMA PT,PT NUSANTARA UTAMA INVESTAMA,GEDUNG GRAHA ISKANDARSYAH LANTAI 2,JALAN ISKANDARSYAH RAYA NO 66 C,,INDONESIA,L,"15,034,031,772","15,034,031,772",61.07,"15,034,031,772","15,034,031,772",61.07,0
347,BVIC,"BANK VICTORIA INTERNATIONAL Tbk, PT",PT VICTORIA SEKURITAS INDONESIA,PT. Victoria Investama Tbk,PT. Victoria Investama Tbk,Ged Graha BIP Lantai 3A,Jl Gatot Subroto Kav 23 RT/RW 002/002,,INDONESIA,L,"1,664,690,921","7,381,035,600",40.07,"1,664,690,921","7,381,035,600",40.07,0
,BVIC,,PT VICTORIA SEKURITAS INDONESIA,,PT. Victoria Investama Tbk,Ged Graha BIP Lantai 3A,Jl Gatot Subroto Kav 23 RT/RW 002/002,,INDONESIA,L,"33,700,900",,,"33,700,900",,,0
,BVIC,,PT VICTORIA SEKURITAS INDONESIA,,PT. Victoria Investama Tbk,Ged Graha BIP Lantai 3A,Jl Gatot Subroto Kav 23 RT/RW 002/002,,INDONESIA,L,"5,682,643,779",,,"5,682,643,779",,,0
348,BVIC,"BANK VICTORIA INTERNATIONAL Tbk, PT",BUT DEUTSCHE BANK AG,VICTORIA INVESTAMA TBK,UBS AG SINGAPORE S/A PT VICTORIA INVESTAMA TBK-2091144929,"PANIN TOWER 8/F,JL.ASIA AFRIKA,LOT.19,","SENAYAN CITY,JAKARTA PUSAT,INDONESIA",,INDONESIA,L,"3,701,036,342","3,701,036,342",20.09,"3,701,036,342","3,701,036,342",20.09,0
349,BVIC,"BANK VICTORIA INTERNATIONAL Tbk, PT",BUT DEUTSCHE BANK AG,Chemical Asia Corporation PTE. LTD.,U20B9S1 A14G4 S6I7N9GAPORE S/A CHEMICAL ASIA CORP PTE.LTD.-,"8 TEMASEK BOULEVARD,35-03,SUNTEC","TOWER 3,SINGAPORE 038988",,SINGAPORE,A,"1,621,200,000","1,958,234,404",10.63,"1,621,200,000","1,958,234,404",10.63,0
,BVIC,,PT VICTORIA SEKURITAS INDONESIA,,Chemical Asia Corporation PTE. LTD.,16 Raffles Quay,#16-02,,SINGAPORE,A,"337,034,404",,,"337,034,404",,,0
350,BVIC,"BANK VICTORIA INTERNATIONAL Tbk, PT",BUT DEUTSCHE BANK AG,SUZANNA TANOJO,SUZANNA TANOJO,"PERMATA HIJAU BLOK E/41 RT/RW 011/004,KEL GROGOL","UTARA,JAKARTA SELATAN INDONESIA",INDONESIAN,INDONESIA,L,"1,163,587,703","1,163,587,703",6.32,"1,163,587,703","1,163,587,703",6.32,0
351,BWPT,"EAGLE HIGH PLANTATIONS Tbk, PT",PT SEMESTA INDOVEST SEKURITAS,"RAJAWALI CAPITAL INTERNATIONAL, PT.",PT. RAJAWALI CAPITAL INTERNATIONAL,MENARA RAJAWALI LT27. KAWASAN MEGA KUNINGAN,JL. DR IDE ANAK AGUNG GDE AGUNG LOT 5.1,,INDONESIA,L,"82,264,616","11,886,121,516",37.70,"82,264,616","11,886,121,516",37.70,0
,BWPT,,PT INDO CAPITAL SEKURITAS,,PT RAJAWALI CAPITAL INTERNATIONAL,Rajawali Place. Lt 30. Jl H.R. Rasuna Said Kavling B/4,Kel Setiabudi. Kec Setiabudi,,INDONESIA,L,"10,783,000,000",,,"10,783,000,000",,,0
,BWPT,,PT SEMESTA INDOVEST SEKURITAS,,PT. RAJAWALI CAPITAL INTERNATIONAL,MENARA RAJAWALI LT27. KAWASAN MEGA KUNINGAN,JL. DR IDE ANAK AGUNG GDE AGUNG LOT 5.1,,INDONESIA,L,"195,856,900",,,"195,856,900",,,0
,BWPT,,PT CGS International Sekuritas Indonesia,,"RAJAWALI CAPITAL INTERNATIONAL, PT",MENARA RAJAWALI LT 27 KAWASAN MEGA KUNINGAN,JL DR IDE ANAK AGUNG GDE AGUNG LOT #5.1,,INDONESIA,L,"825,000,000",,,"825,000,000",,,0
352,BWPT,"EAGLE HIGH PLANTATIONS Tbk, PT",PT Bank Maybank Indonesia Tbk,FIC PROPERTIES SDN BHD,FIC PROPERTIES SDN BHD,MENARA FELDA LEVEL 46 PLATINUM PARK NO.11,PERSIARAN KLCC,,MALAYSIA,A,"11,664,357,670","11,664,357,670",37.00,"11,664,357,670","11,664,357,670",37.00,0
353,BYAN,BAYAN RESOURCES Tbk,PT. TRIMEGAH SEKURITAS INDONESIA TBK,"SUMBER SURYADAYA PRIMA, PT","SUMBER SURYADAYA PRIMA, PT",KOMPLEKS PERINTIS JL. BHAYANGKARA NO.38 RT.035,KEL. SUNGAI ULIN,,INDONESIA,L,"3,333,380,000","3,333,380,000",10.00,"3,333,380,000","3,333,380,000",10.00,0
354,BYAN,BAYAN RESOURCES Tbk,"PT. BANK PERMATA, TBK",LOW TUCK KWONG,LOW TUCK KWONG,"GEDUNG OFFICE 8,LT 37 UNIT A-H JL SENOPATI NO.8B",SENAYAN KEBAYORAN BARU,INDONESIAN,INDONESIA,L,"3,000,000,000","13,412,921,870",40.24,"3,000,000,000","13,412,921,870",40.24,0
,BYAN,,PT MAYBANK SEKURITAS INDONESIA,,LOW TUCK KWONG,GD OFFICE 8 LT.37 UNIT A-H JL. SENOPATI NO.8B,"SENAYAN, KEBAYORAN BARU",INDONESIAN,INDONESIA,L,"49,755,570",,,"49,755,570",,,0
